CAN ID,DevID,Description,no_client.csv (ms),with_client.csv (ms),Diff (%)
2147746239,63,Unknown,33.7634346424005,32.19826908434852,-4.63568228359809
2147812032,0,Unknown,,150.11918929315382,NEW
2164332608,0,Heartbeat,194.38304350926325,213.01076525733583,9.582997267549672
2181300382,30,Unknown,643.1224005562918,900.1116752624512,39.95962113648462
2181365899,11,DUTY_CYCLE_SETPOINT,1697.4375247955322,,
2181371915,11,LEGACY_STATUS_0,,,NEW
2181412875,11,STATUS_0,45.06656190623408,39.410472893324055,-12.550522546357401
2181412939,11,STATUS_1,748.961329460144,447.4151009007504,-40.26192230468695
2181413195,11,STATUS_5,20.304291164828644,23.97209942340851,18.064202432898956
