Timestamp,CAN_ID,DLC,DataBytes
1768600418.8716307,2164332608,8,78 01 00 16 59 04 00 60
1768600418.8798945,2147746239,8,01 00 00 00 00 00 00 00
1768600418.890661,2181412875,8,AC 0C DB 06 00 00 20 00
1768600418.8989494,2164332608,8,78 01 00 16 59 04 00 60
1768600418.9071984,2147746239,8,01 00 00 00 00 00 00 00
1768600418.918023,2181413195,8,00 00 00 00 00 00 00 00
1768600418.9263134,2147746239,8,01 00 00 00 00 00 00 00
1768600418.934638,2181413195,8,00 00 00 00 00 00 00 00
1768600418.9453604,2164332608,8,78 01 00 16 59 04 00 60
1768600418.9536662,2181412875,8,AC 0C DD 06 00 00 20 00
1768600418.9644628,2181413195,8,00 00 00 00 00 00 00 00
1768600418.972765,2181412875,8,AC 0C DD 06 00 00 20 00
1768600418.9809823,2181413195,8,00 00 00 00 00 00 00 00
1768600418.991798,2147746239,8,01 00 00 00 00 00 00 00
1768600419.0001361,2181413195,8,00 00 00 00 00 00 00 00
1768600419.008356,2147746239,8,01 00 00 00 00 00 00 00
1768600419.0191848,2181413195,8,00 00 00 00 00 00 00 00
1768600419.0274463,2147746239,8,01 00 00 00 00 00 00 00
1768600419.0383167,2181413195,8,00 00 00 00 00 00 00 00
1768600419.0465176,2147746239,8,01 00 00 00 00 00 00 00
1768600419.054819,2181413195,8,00 00 00 00 00 00 00 00
1768600419.0656602,2164332608,8,78 01 00 16 59 04 00 60
1768600419.073855,2181412875,8,AC 0C DC 06 00 00 20 00
1768600419.0822096,2181413195,8,00 00 00 00 00 00 00 00
1768600419.0929613,2181412875,8,AC 0C DB 06 00 00 20 00
1768600419.101305,2181413195,8,00 00 00 00 00 00 00 00
1768600419.1095135,2181300382,8,00 00 66 00 00 00 00 00
1768600419.1203814,2181413195,8,00 00 00 00 00 00 00 00
1768600419.128585,2147746239,8,01 00 00 00 00 00 00 00
1768600419.1393805,2181413195,8,00 00 00 00 00 00 00 00
1768600419.147706,2147746239,8,01 00 00 00 00 00 00 00
1768600419.1559336,2181413195,8,00 00 00 00 00 00 00 00
1768600419.1669178,2147746239,8,01 00 00 00 00 00 00 00
1768600419.1750157,2181413195,8,00 00 00 00 00 00 00 00
1768600419.183399,2164332608,8,78 01 00 16 59 04 00 60
1768600419.194097,2181412875,8,AC 0C DA 06 00 00 20 00
1768600419.2024732,2181413195,8,00 00 00 00 00 00 00 00
1768600419.213183,2181412875,8,00 00 E1 06 00 00 20 00
1768600419.221467,2181413195,8,00 00 00 00 00 00 00 00
1768600419.2297494,2147746239,8,01 00 00 00 00 00 00 00
1768600419.24053,2181413195,8,00 00 00 00 00 00 00 00
1768600419.2489023,2147746239,8,01 00 00 00 00 00 00 00
1768600419.2570813,2181413195,8,00 00 00 00 00 00 00 00
1768600419.267989,2147746239,8,01 00 00 00 00 00 00 00
1768600419.2761655,2181413195,8,00 00 00 00 00 00 00 00
1768600419.2870445,2147746239,8,01 00 00 00 00 00 00 00
1768600419.2952647,2181412875,8,AC 0C D6 06 00 00 20 00
1768600419.3035219,2181413195,8,00 00 00 00 00 00 00 00
1768600419.3143933,2181412875,8,00 00 E3 06 00 00 20 00
1768600419.3226125,2181413195,8,00 00 00 00 00 00 00 00
1768600419.330983,2181412875,8,00 00 E2 06 00 00 20 00
1768600419.3416915,2181413195,8,00 00 00 00 00 00 00 00
1768600419.3501754,2147746239,8,01 00 00 00 00 00 00 00
1768600419.360783,2181413195,8,00 00 00 00 00 00 00 00
1768600419.369141,2147746239,8,01 00 00 00 00 00 00 00
1768600419.3773184,2181413195,8,00 00 00 00 00 00 00 00
1768600419.3881693,2147746239,8,01 00 00 00 00 00 00 00
1768600419.3964472,2181413195,8,00 00 00 00 00 00 00 00
1768600419.4047518,2164332608,8,78 01 00 16 59 04 00 60
1768600419.415561,2181412875,8,00 00 E2 06 00 00 20 00
1768600419.4237456,2181413195,8,00 00 00 00 00 00 00 00
1768600419.434636,2181412875,8,AC 0C D7 06 00 00 20 00
1768600419.4428449,2181413195,8,00 00 00 00 00 00 00 00
1768600419.4512112,2181412875,8,AC 0C D8 06 00 00 20 00
1768600419.461933,2181413195,8,00 00 00 00 00 00 00 00
1768600419.4702656,2147746239,8,01 00 00 00 00 00 00 00
1768600419.4784858,2181413195,8,00 00 00 00 00 00 00 00
1768600419.4893854,2147746239,8,01 00 00 00 00 00 00 00
1768600419.4975808,2181413195,8,00 00 00 00 00 00 00 00
1768600419.508415,2147746239,8,01 00 00 00 00 00 00 00
1768600419.5167184,2181413195,8,00 00 00 00 00 00 00 00
1768600419.5248966,2164332608,8,78 01 00 16 59 04 00 60
1768600419.5357661,2181412875,8,00 00 E2 06 00 00 20 00
1768600419.5439968,2181413195,8,00 00 00 00 00 00 00 00
1768600419.5523028,2181412875,8,AC 0C D9 06 00 00 20 00
1768600419.5630858,2181413195,8,00 00 00 00 00 00 00 00
1768600419.5714412,2181412875,8,00 00 E2 06 00 00 20 00
1768600419.582217,2181413195,8,00 00 00 00 00 00 00 00
1768600419.590476,2147746239,8,01 00 00 00 00 00 00 00
1768600419.5988398,2181413195,8,00 00 00 00 00 00 00 00
1768600419.6095905,2147746239,8,01 00 00 00 00 00 00 00
1768600419.6178646,2181413195,8,00 00 00 00 00 00 00 00
1768600419.6260655,2147746239,8,01 00 00 00 00 00 00 00
1768600419.6369154,2181413195,8,00 00 00 00 00 00 00 00
1768600419.6451607,2147746239,8,01 00 00 00 00 00 00 00
1768600419.6559978,2181412875,8,AC 0C CE 06 00 00 20 00
1768600419.6643474,2181412939,8,00 00 00 08 00 00 00 00
1768600419.6725464,2181412875,8,AC 0C D9 06 00 00 20 00
1768600419.6834426,2181413195,8,00 00 00 00 00 00 00 00
1768600419.6916254,2181412875,8,AC 0C DC 06 00 00 20 00
1768600419.6999366,2181413195,8,00 00 00 00 00 00 00 00
1768600419.7107205,2181300382,8,00 00 66 00 00 00 00 00
1768600419.7189996,2181413195,8,00 00 00 00 00 00 00 00
1768600419.7298107,2147746239,8,01 00 00 00 00 00 00 00
1768600419.7380598,2181413195,8,00 00 00 00 00 00 00 00
1768600419.746317,2147746239,8,01 00 00 00 00 00 00 00
1768600419.7571673,2181413195,8,00 00 00 00 00 00 00 00
1768600419.7654583,2147746239,8,01 00 00 00 00 00 00 00
1768600419.7736895,2181412875,8,AC 0C DB 06 00 00 20 00
1768600419.7845407,2181413195,8,00 00 00 00 00 00 00 00
1768600419.79278,2181412875,8,00 00 E3 06 00 00 20 00
1768600419.8036044,2181413195,8,00 00 00 00 00 00 00 00
1768600419.8118742,2181412875,8,00 00 E3 06 00 00 20 00
1768600419.8201427,2181413195,8,00 00 00 00 00 00 00 00
1768600419.830995,2147746239,8,01 00 00 00 00 00 00 00
1768600419.8392203,2181413195,8,00 00 00 00 00 00 00 00
1768600419.847484,2147746239,8,01 00 00 00 00 00 00 00
1768600419.858368,2181413195,8,00 00 00 00 00 00 00 00
1768600419.8666158,2147746239,8,01 00 00 00 00 00 00 00
1768600419.877412,2181413195,8,00 00 00 00 00 00 00 00
1768600419.8856788,2147746239,8,01 00 00 00 00 00 00 00
1768600419.8939629,2181412875,8,AC 0C D5 06 00 00 20 00
1768600419.904745,2181413195,8,00 00 00 00 00 00 00 00
1768600419.9130428,2181365899,8,CD CC CC 3D 00 00 04 00
1768600419.9213147,2181413195,8,00 00 00 00 00 00 00 00
1768600419.9321966,2181412875,8,00 00 E3 06 00 00 20 00
1768600419.9404597,2181413195,8,00 00 00 00 00 00 00 00
1768600419.951335,2147746239,8,01 00 00 00 00 00 00 00
1768600419.9594755,2181413195,8,00 00 00 00 00 00 00 00
1768600419.9677796,2147746239,8,01 00 00 00 00 00 00 00
1768600419.9785576,2181413195,8,00 00 00 00 00 00 00 00
1768600419.9868364,2147746239,8,01 00 00 00 00 00 00 00
1768600419.9951007,2181413195,8,00 00 00 00 00 00 00 00
1768600420.0059211,2147746239,8,01 00 00 00 00 00 00 00
1768600420.0142305,2181412875,8,AC 0C DD 06 00 00 20 00
1768600420.0249963,2181413195,8,00 00 00 00 00 00 00 00
1768600420.0336075,2181412875,8,AC 0C DA 06 00 00 20 00
1768600420.041529,2181413195,8,00 00 00 00 00 00 00 00
1768600420.052341,2181412875,8,AC 0C DB 06 00 00 20 00
1768600420.0606391,2181413195,8,00 00 00 00 00 00 00 00
1768600420.068922,2147746239,8,01 00 00 00 00 00 00 00
1768600420.0797176,2181413195,8,00 00 00 00 00 00 00 00
1768600420.087964,2147746239,8,01 00 00 00 00 00 00 00
1768600420.0988429,2181413195,8,00 00 00 00 00 00 00 00
1768600420.1070652,2147746239,8,01 00 00 00 00 00 00 00
1768600420.1157918,2181413195,8,00 00 00 00 00 00 00 00
1768600420.1262004,2147746239,8,01 00 00 00 00 00 00 00
1768600420.13449,2181412875,8,AC 0C DC 06 00 00 20 00
1768600420.1427133,2181413195,8,00 00 00 00 00 00 00 00
1768600420.1535628,2181412875,8,AC 0C DB 06 00 00 20 00
1768600420.16181,2181412939,8,00 00 00 08 00 00 00 00
1768600420.1726077,2181412875,8,AC 0C DE 06 00 00 20 00
1768600420.180907,2181413195,8,00 00 00 00 00 00 00 00
1768600420.1891453,2147746239,8,01 00 00 00 00 00 00 00
1768600420.200076,2181413195,8,00 00 00 00 00 00 00 00
1768600420.208226,2147746239,8,01 00 00 00 00 00 00 00
1768600420.216513,2181413195,8,00 00 00 00 00 00 00 00
1768600420.2273524,2147746239,8,01 00 00 00 00 00 00 00
1768600420.2356288,2181413195,8,00 00 00 00 00 00 00 00
1768600420.2438774,2164332608,8,78 01 00 16 59 04 00 60
1768600420.254699,2181412875,8,AC 0C DB 06 00 00 20 00
1768600420.2629695,2181413195,8,00 00 00 00 00 00 00 00
